node_idx,split,test_propensity,selected_testlike_val
0,test,0.9968601,False
1,train,0.36339852,False
2,train,0.48171264,False
3,test,0.37608138,False
4,train,0.41257977,False
5,train,0.49661127,False
6,test,0.9968678,False
7,train,0.5354535,True
8,train,0.4620813,False
9,test,0.99572855,False
10,train,0.3994443,False
11,test,0.49371886,False
12,train,0.49845737,True
13,test,0.45143667,False
14,test,0.53244513,False
15,train,0.003687629,False
16,train,0.003744456,False
17,train,0.22538392,False
18,train,0.38081935,False
19,train,0.0030274992,False
20,train,0.0027621523,False
21,train,0.0033229738,False
22,train,0.41514698,False
23,train,0.003883481,False
24,train,0.42458636,False
25,train,0.5028032,True
26,train,0.3617825,False
27,train,0.5219405,True
28,train,0.4564653,False
29,train,0.27901208,False
30,test,0.3037339,False
31,train,0.57913387,True
32,train,0.48367673,False
33,test,0.40900192,False
34,train,0.0042074416,False
35,test,0.5183973,False
36,train,0.00297419,False
37,test,0.5455827,False
38,train,0.30065912,False
39,train,0.0035634702,False
40,train,0.27771226,False
41,train,0.0029086468,False
42,train,0.4407082,False
43,train,0.003138357,False
44,train,0.003149794,False
45,test,0.5125583,False
46,test,0.5554795,False
47,train,0.36100644,False
48,train,0.45244765,False
49,train,0.46612084,False
50,test,0.9971244,False
51,train,0.4910314,False
52,test,0.3937407,False
53,test,0.2547568,False
54,test,0.53355914,False
55,train,0.0033370804,False
56,train,0.3926061,False
57,train,0.4293622,False
58,train,0.5247518,True
59,train,0.47841138,False
60,train,0.5103476,True
61,train,0.5418117,True
62,train,0.49305442,False
63,train,0.37008256,False
64,train,0.0034249302,False
65,train,0.4204785,False
66,train,0.0027001998,False
67,test,0.38871008,False
68,train,0.0033135542,False
69,train,0.5469781,True
70,train,0.45425805,False
71,test,0.9970924,False
72,train,0.0036499358,False
73,train,0.4830312,False
74,train,0.46193728,False
75,train,0.5390306,True
76,test,0.45983955,False
77,train,0.51627034,True
78,train,0.4903011,False
79,train,0.0033663327,False
80,test,0.23036703,False
81,train,0.0031073133,False
82,train,0.0030013802,False
83,train,0.51210004,True
84,train,0.27451795,False
85,train,0.49947116,True
86,train,0.52748376,True
87,test,0.99677664,False
88,test,0.4563225,False
89,test,0.49359417,False
90,train,0.0032047431,False
91,train,0.40724158,False
92,train,0.004251506,False
93,train,0.49344498,False
94,train,0.5165431,True
95,train,0.34416127,False
96,train,0.52446544,True
97,train,0.50835866,True
98,test,0.4238673,False
99,train,0.36521015,False
100,train,0.4734647,False
101,train,0.51027054,True
102,test,0.99716043,False
103,train,0.4084254,False
104,train,0.0037089447,False
105,train,0.002921972,False
106,train,0.38184658,False
107,train,0.4903201,False
108,train,0.47790393,False
109,train,0.0037702124,False
110,train,0.2576531,False
111,test,0.5236144,False
112,train,0.30696395,False
113,train,0.3719774,False
114,train,0.5215885,True
115,train,0.38163385,False
116,train,0.0032747076,False
117,test,0.4323176,False
118,train,0.3519015,False
119,train,0.4867399,False
120,train,0.3240014,False
121,train,0.49542454,False
122,train,0.4850581,False
123,train,0.2940722,False
124,test,0.33659014,False
125,train,0.540256,True
126,train,0.3223353,False
127,train,0.33921233,False
128,test,0.4100666,False
129,train,0.36607248,False
130,test,0.42187646,False
131,train,0.3637555,False
132,train,0.5644534,True
133,train,0.003494863,False
134,train,0.42859474,False
135,train,0.3870565,False
136,train,0.41953728,False
137,train,0.37948278,False
138,train,0.0035564578,False
139,train,0.48293346,False
140,train,0.3101758,False
